Disease,SymptomIndex,Symptom
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,skin_rash
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,skin_rash
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,itching
fungal infection,Symptom_1,itching
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,shivering
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,shivering
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,continuous_sneezing
allergy,Symptom_1,continuous_sneezing
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,acidity
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
gerd,Symptom_1,stomach_pain
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,vomiting
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
chronic cholestasis,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,skin_rash
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
drug reaction,Symptom_1,itching
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,indigestion
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
peptic ulcer diseae,Symptom_1,vomiting
aids,Symptom_1,muscle_wasting
aids,Symptom_1,patches_in_throat
aids,Symptom_1,muscle_wasting
aids,Symptom_1,muscle_wasting
aids,Symptom_1,muscle_wasting
aids,Symptom_1,muscle_wasting
aids,Symptom_1,muscle_wasting
aids,Symptom_1,patches_in_throat
aids,Symptom_1,muscle_wasting
aids,Symptom_1,muscle_wasting
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,weight_loss
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
diabetes,Symptom_1,fatigue
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,sunken_eyes
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,sunken_eyes
gastroenteritis,Symptom_1,vomiting
gastroenteritis,Symptom_1,vomiting
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,cough
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,fatigue
bronchial asthma,Symptom_1,cough
bronchial asthma,Symptom_1,fatigue
hypertension,Symptom_1,headache
hypertension,Symptom_1,chest_pain
hypertension,Symptom_1,headache
hypertension,Symptom_1,headache
hypertension,Symptom_1,headache
hypertension,Symptom_1,headache
hypertension,Symptom_1,headache
hypertension,Symptom_1,chest_pain
hypertension,Symptom_1,headache
hypertension,Symptom_1,headache
migraine,Symptom_1,acidity
migraine,Symptom_1,indigestion
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
migraine,Symptom_1,acidity
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,weakness_in_limbs
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,back_pain
cervical spondylosis,Symptom_1,weakness_in_limbs
cervical spondylosis,Symptom_1,back_pain
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,headache
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,headache
paralysis (brain hemorrhage),Symptom_1,vomiting
paralysis (brain hemorrhage),Symptom_1,vomiting
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
jaundice,Symptom_1,vomiting
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
jaundice,Symptom_1,itching
malaria,Symptom_1,chills
malaria,Symptom_1,chills
malaria,Symptom_1,chills
malaria,Symptom_1,vomiting
malaria,Symptom_1,chills
malaria,Symptom_1,chills
malaria,Symptom_1,chills
