Symptom,SeverityLevel
itching,mild
skin_rash,moderate
nodal_skin_eruptions,severe
continuous_sneezing,severe
shivering,severe
chills,moderate
joint_pain,moderate
stomach_pain,severe
acidity,moderate
ulcers_on_tongue,severe
muscle_wasting,moderate
vomiting,severe
burning_micturition,severe
spotting_urination,severe
fatigue,severe
weight_gain,moderate
anxiety,severe
cold_hands_and_feets,severe
mood_swings,moderate
weight_loss,moderate
restlessness,severe
lethargy,mild
patches_in_throat,severe
irregular_sugar_level,severe
cough,severe
high_fever,severe
sunken_eyes,moderate
breathlessness,severe
sweating,moderate
dehydration,severe
indigestion,severe
headache,moderate
yellowish_skin,moderate
dark_urine,severe
nausea,severe
loss_of_appetite,severe
pain_behind_the_eyes,severe
back_pain,moderate
constipation,severe
abdominal_pain,severe
diarrhoea,severe
mild_fever,severe
yellow_urine,severe
yellowing_of_eyes,severe
acute_liver_failure,severe
fluid_overload,severe
swelling_of_stomach,severe
swelled_lymph_nodes,severe
malaise,severe
blurred_and_distorted_vision,severe
phlegm,severe
throat_irritation,severe
redness_of_eyes,severe
sinus_pressure,severe
runny_nose,severe
congestion,severe
chest_pain,severe
weakness_in_limbs,severe
fast_heart_rate,severe
pain_during_bowel_movements,severe
pain_in_anal_region,severe
bloody_stool,severe
irritation_in_anus,severe
neck_pain,severe
dizziness,severe
cramps,severe
bruising,severe
obesity,severe
swollen_legs,severe
swollen_blood_vessels,severe
puffy_face_and_eyes,severe
enlarged_thyroid,severe
brittle_nails,severe
swollen_extremeties,severe
excessive_hunger,severe
extra_marital_contacts,severe
drying_and_tingling_lips,severe
slurred_speech,severe
knee_pain,moderate
hip_joint_pain,mild
muscle_weakness,mild
stiff_neck,severe
swelling_joints,severe
movement_stiffness,severe
spinning_movements,severe
loss_of_balance,severe
unsteadiness,severe
weakness_of_one_body_side,severe
loss_of_smell,moderate
bladder_discomfort,severe
foul_smell_ofurine,severe
continuous_feel_of_urine,severe
passage_of_gases,severe
internal_itching,severe
toxic_look_(typhos),severe
depression,moderate
irritability,mild
muscle_pain,mild
altered_sensorium,mild
red_spots_over_body,moderate
belly_pain,severe
abnormal_menstruation,severe
dischromic_patches,severe
watering_from_eyes,severe
increased_appetite,severe
polyuria,severe
family_history,severe
mucoid_sputum,severe
rusty_sputum,severe
lack_of_concentration,moderate
visual_disturbances,moderate
receiving_blood_transfusion,severe
receiving_unsterile_injections,mild
coma,severe
stomach_bleeding,severe
distention_of_abdomen,severe
history_of_alcohol_consumption,severe
fluid_overload,severe
blood_in_sputum,severe
prominent_veins_on_calf,severe
palpitations,severe
painful_walking,mild
pus_filled_pimples,mild
blackheads,mild
scurring,mild
skin_peeling,moderate
silver_like_dusting,mild
small_dents_in_nails,mild
inflammatory_nails,mild
blister,severe
red_sore_around_nose,mild
yellow_crust_ooze,moderate
prognosis,severe
